LSRNumber,LSRTitle,BillNumber,BillAnalysis,BillURL,PrimeSponsor,Sponsors,pubDate
21-0266,relative to approval of coursework completed at other approved schools,HB 140,This bill creates a private right of action for bullying and cyberbullying.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=266&txtFormat=html,Rick Ladd,"Ralph Boehm, Glenn Cordelli, Michael Moffett, Alicia Lekas, James Allard",1/4/2021
21-0267,permitting school districts to contract with independent schools and private schools.,HB 229,"This bill defines ""wake boat.""",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=267&txtFormat=html,Rick Ladd,"Ralph Boehm, Steven Smith, Glenn Cordelli, Alicia Lekas, James Allard, Travis O'Hara",1/4/2021
21-0268,relative to school building aid grants.,,,,Rick Ladd,James Allard,12/10/2020
21-0270,relative to career and technical education.,,,,David Watters,,12/30/2020
21-0271,relative to the manner of posting on land and the criminal penalty for such posting.,,,,John Reagan,"Carol McGuire, Bill Gannon, Harold French, Alan Bershtein, Suzanne Prentiss",12/29/2020
21-0272,restricting public officers from engaging in certain private dealings. ,,,,John Reagan,"Sharon Carson, David Watters, Carol McGuire, James Spillane, Jay Kahn, Harold French, Tom Sherman, Suzanne Prentiss, Paul Tudor",12/30/2020
21-0273,relative to the manner of posting on land.,,,,John Reagan,"Sharon Carson, Jeb Bradley, Carol McGuire, Brian Seaworth, Jay Kahn, Bill Gannon, Harold French, Tom Sherman, Alan Bershtein",1/4/2021
21-0275,relative to the placement of minors in secure settings.,,,,Kimberly Rice,"Sharon Carson, Mary Jane Wallner, Marjorie Smith, Patrick Long, Cindy Rosenwald, Erin Hennessey",1/4/2021
21-0276,relative to nonpublic sessions under the right to know law.,,,,Gregg Hough,"Al Baldasaro, Michael Sylvia, Barbara Comtois, David Binford, Mike Bordes, Dawn Johnson, Douglas Trottier, Travis O'Hara",12/7/2020
21-0277,"relative to telemedicine provided by out of state psychologists.
",,,,John Reagan,"Sharon Carson, Jeb Bradley, James Spillane, Suzanne Prentiss, Paul Tudor",1/4/2021
21-0278,relative to collective bargaining agreement strategy discussions under the right-to-know law.,,,,Leonard Turcotte,"Glenn Cordelli, Michael Moffett, Hershel Nunez",1/4/2021
21-0279,relative to urging Congress to practice fiscal restraint and applying to Congress for a Constitutional Convention for such purpose.,,,,Max Abramson,David Binford,1/4/2021
21-0280,relative to prior authorizations and patient transfers under managed care group health insurance policies.,,,,William Marsh,"Jerry Knirk, Jay Kahn, Kevin Cavanaugh, Tom Sherman, Joyce Weston, Gary Woods, James Murphy",1/4/2021
21-0281,relative to physical force in defense of a person.,,,,Max Abramson,,1/4/2021
21-0282,relative to the definition of grocery or convenience store.,,,,Max Abramson,"David Binford, Juliet Harvey-Bolia",1/4/2021
21-0283,relative to the membership and duties of the joint health care reform oversight committee.,,,,Max Abramson,,12/28/2020
21-0284,relative to enforcement of the elections laws.,HB 145,This bill removes certain instances where using deadly force to defend oneself or another person is not legally justifiable.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=284&txtFormat=html,Max Abramson,"Michael Yakubovich, Juliet Harvey-Bolia",11/24/2020
21-0285,relative to innovation schools.,HB 191,This bill adds requirements for prior authorizations under managed care health benefit plans and the administration of patient transfers to another health care facility.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=285&txtFormat=html,Glenn Cordelli,"John Reagan, Barbara Shaw, Rick Ladd, Joseph Pitre, Gregory Hill, Maureen Mooney, Ruth Ward, Alicia Lekas",1/4/2021
21-0287,increasing exemptions to the interest and dividends tax and repealing the tax in 2025.,HB 206,This bill requires that collective bargaining agreement strategy discussions where only one party is present shall not constitute a meeting open to the public under the right-to-know law.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=287&txtFormat=html,Norman Silber,"Al Baldasaro, Carol McGuire, Jason Osborne, John Potucek, Gary Daniels, Maureen Mooney, David Binford, Denise Ricciardi, Erica Layon",12/30/2020
21-0288,permitting certain political organizations to appear on a general election ballot as a minor party after holding a nominating convention.  ,,,,Max Abramson,Tony Labranche,1/4/2021
21-0289,relative to domicile of students for voting purposes.,HB 193,"This bill provides that any person who negligently or recklessly causes timber to be cut on the land of another shall be guilty of trespass under RSA 227-J, relative to timber harvesting.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=289&txtFormat=html,Norman Silber,,1/4/2021
21-0290,requiring bottled drinking water sold to the public to meet the same maximum contaminant levels established for public drinking water.,HB 227,This bill adds the expiration of the term of the lease or tenancy if over 6 months as grounds for an eviction.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=290&txtFormat=html,Chuck Grassie,"Bruce Cohen, Cassandra  Levesque",1/4/2021
21-0291,relative to the definition of prime wetland.,,,,Chuck Grassie,"Suzanne Vail, Deb Stevens",1/4/2021
21-0292,establishing a condominium dispute resolution board.,,,,Edward Gordon,Susan Almy,1/4/2021
21-0293,relative to the licensure and regulation of music therapists.,,,,Kat McGhee,,1/4/2021
21-0294,establishing a committee to study best practices for companion animal groomers.,,,,Jim Maggiore,Amanda Gourgue,1/4/2021
21-0295,giving peace officer status to federal law enforcement officers.,HB 226,This bill extends the date for the repeal of the laws on produce safety.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=295&txtFormat=html,Janice Schmidt,Steve Shurtleff,1/4/2021
21-0296,relative to the repeal of laws on produce safety.,,,,Howard Pearl,"Michael Moffett, Timothy Lang",1/4/2021
21-0297,relative to pet vendors.,HB 92,This bill establishes a committee to study best practices for companion animal groomers.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=297&txtFormat=html,Howard Pearl,"Max Abramson, Michael Moffett, Timothy Lang, Gerald Griffin, Margaret Kennedy",1/4/2021
21-0298, defining animal hoarding.,HB 209-FN,This bill establishes the music therapy governing board in the office of allied health professionals for the licensure and regulation of practitioners of music therapy.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=298&txtFormat=html,Howard Pearl,"Michael Moffett, Timothy Lang",1/4/2021
21-0299,relative to animal health certificates and quarantine requirements for animals imported into the state.,,,,Howard Pearl,"Michael Moffett, Timothy Lang",1/4/2021
21-0300,relative to animal shelter facilities.,HB 158,This bill further defines prime wetland for local protection in fill and dredge permits.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=300&txtFormat=html,Howard Pearl,"Michael Moffett, Timothy Lang",1/4/2021
21-0301,relative to termination of tenancy at the expiration of the tenancy or lease term.,,,,Bob Lynn,,1/4/2021
21-0302,relative to penalties for improper timber harvesting.,,,,Suzanne Smith,"Linda Gould, Edward Gordon, Bob Giuda, Joyce Weston, Erin Hennessey",1/4/2021
21-0304,relative to the right of any infant born alive to medically appropriate and reasonable care and treatment.,,,,Jordan Ulery,Walter Stapleton,1/4/2021
21-0305,creating a committee to study the creation of a program giving employers tax credits on business taxes in exchange for providing stipends for child care needs to employees.,,,,Donovan Fenton,,1/4/2021
21-0306,creating a committee to study appointing an inspector general for nursing homes in New Hampshire.,,,,Donovan Fenton,Joe Alexander,12/23/2020
21-0307,relative to the rental of shared living facilities.,,,,Sherry Frost,,1/4/2021
21-0308,requiring children under the age of 2 yearsto be restrained in a motor vehicle.,,,,Donovan Fenton,,12/21/2020
21-0309,raising the limit on the maximum price of raffle tickets offered during bingo.,,,,Jordan Ulery,,1/4/2021
21-0310,expanding the definition of charitable organization to include fraternal organizations for the purposes of holding raffles.,,,,Jordan Ulery,Walter Stapleton,1/4/2021
21-0311,relative to the referral of debts for collection. ,,,,Jordan Ulery,,12/29/2020
21-0312,prohibiting collective bargaining agreements that require employees to join a labor union.,HB 152,This bill permits the apportionment formula for a cooperative school district to be subject to review 5 years after an article to continue the current formula was passed.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=312&txtFormat=html,John Reagan,"Jeb Bradley, Carol McGuire, Dick Marston, James Spillane, Bill Gannon, Harold French, Alicia Lekas",1/4/2021
21-0313,"requiring town and city clerks to make electronic lists of persons who have requested, been mailed, or returned absentee ballots available to candidates upon request.",,,,Ross Berry,"Timothy Smith, Travis O'Hara",1/4/2021
21-0314,relative to financial disclosures by legislators.,HB 159-FN,This bill permits the New Hampshire State Council of the Knights of Columbus to issue decals for multi-use plates.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=314&txtFormat=html,Edward Gordon,Janet Wall,1/4/2021
21-0315,relative to minutes and decisions in nonpublic sessions under the right-to-know law.,,,,Jordan Ulery,"Carol McGuire, James Spillane, Tony Lekas",1/4/2021
21-0317,relative to organizations authorized to issue decals for multi-use decal number plates.,HB 190,This bill requires that the legislative ethics financial disclosure form for members and officers of the general court shall only be filed in January of the first year of the biennium.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=317&txtFormat=html,Jordan Ulery,,1/5/2021
21-0318,relative to the election of electors of the president and vice-president of the United States.,,,,Cody Belanger,"Max Abramson, Josh Yokela, Aidan Ankarberg",1/4/2021
21-0319,relative to the apportionment of costs in cooperative school districts.,,,,Kat McGhee,,1/4/2021
21-0321,allowing voters to vote for multiple candidates for an office.,HB 174,This bill requires the reporting of a collision between a cat and a motor vehicle to the cat's owner or the police.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=321&txtFormat=html,Max Abramson,Aidan Ankarberg,12/1/2020
21-0324,"relative to removal of abandoned or disabled vehicles by towing.
 ",,,,Regina Birdsell,,12/2/2020
21-0325,relative to certificate of boating safety.,,,,Regina Birdsell,,1/5/2021
21-0327,relative to brew pubs allowing customers to bring dogs to outdoor areas.,,,,Regina Birdsell,"Sharon Carson, Bill Gannon, Kevin Cavanaugh, Tom Sherman",1/5/2021
21-0328,permitting tastings by liquor manufacturers at farmers markets.,,,,Regina Birdsell,"Sharon Carson, Harold French, Kevin Cavanaugh",1/5/2021
21-0329,relative to temporary docks.,,,,Suzanne Smith,"Mark McConkey, Andrew Renzullo",1/4/2021
21-0330,relative to death benefits of first responders who die from suicide.,,,,Daryl Abbas,"Fred Doucette, Timothy Lang, Terry Roy, Douglas Trottier",1/4/2021
21-0331,relative to reporting a collision between a cat and a motor vehicle.,HB 178-FN,This bill amends various provisions of the adult parole process including the definition of violent crime and recommittal of prisoners who violate parole.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=331&txtFormat=html,Daryl Abbas,"John Janigian, Anita Burroughs, Cam Kenney",1/5/2021
21-0332,relative to driving with a suspended license.,,,,Daryl Abbas,,1/5/2021
21-0333,establishing a credit under RSA 77 for tax paid on income subject to taxation in another state.,HB 147-FN,This bill creates a first degree assault offense for an assault against a person 65 years of age or older by a person who is more than 10 years of age older than the victim.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=333&txtFormat=html,Daryl Abbas,"Fred Doucette, John Janigian, Alan Bershtein",12/21/2020
21-0334,relative to offering vocational training as part of the drug court and alternative drug offender grant program.,HB 179-FN,This bill establishes an enhanced penalty for persons convicted of negligent homicide who have prior convictions for driving under the influence of drugs or liquor.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=334&txtFormat=html,James Spillane,"John Reagan, Kevin Avard, Kevin Verville, Alan Bershtein, Terry Roy, Daryl Abbas",1/5/2021
21-0335,relative to the administration of certain state taxes by the department of revenue administration.  ,,,,Norman Major,"Susan Almy, Richard Ames",12/22/2020
21-0336,relative to the use of funds in the drug forfeiture fund.,,,,James Spillane,"John Reagan, John Burt, Kevin Verville",1/4/2021
21-0337,relative to enhanced penalties based on prior convictions for driving under the influence of drugs or liquor.,,,,Daryl Abbas,,1/4/2021
21-0338,relative to assault against an elderly person.,HB 212,This bill allows a drug court to order an offender to participate in social work or mental health consultations as a condition of sentence completion.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=338&txtFormat=html,Daryl Abbas,David Love,1/4/2021
21-0340,relative to the parole of prisoners and the procedures of the adult parole board.,HB 181,This bill allows a vote for accepting operation of sports book retail locations by a city at the state primary election.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=340&txtFormat=html,Daryl Abbas,Gary Daniels,1/4/2021
21-0344,allowing increased net energy metering limits for municipal hydroelectric facilities.,,,,Michael O'Brien,"Suzanne Vail, Mark King, Skip Cleaver, Bruce Cohen, Laura Telerski",1/4/2021
21-0345,relative to the local option for operation of sports book retail locations.,,,,Michael O'Brien,"David Cote, Laura Telerski, Cindy Rosenwald",1/5/2021
21-0346,establishing a committee to study the expiration and updating of  administrative rules.,HB 192,This bill adds additional pistols permitted for the taking of deer.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=346&txtFormat=html,James Spillane,"Kenneth Weyler, Carol McGuire, John Burt, Hershel Nunez, Alan Bershtein, Terry Roy",1/4/2021
21-0347,relative to drug courts and alternative drug offender grant programs. ,,,,James Spillane,"John Reagan, Kevin Avard, Alan Bershtein, Terry Roy",1/5/2021
21-0348,relative to the taking of game by certain lever-action firearms.,,,,James Spillane,"Howard Pearl, Kevin Verville, David Love, Terry Roy",1/4/2021
21-0350,"requring a color photo of a dog, cat, or ferret on a rabies vaccination certificate.",,,,Dave Testerman,,1/4/2021
21-0352,relative to pistols permitted for the taking of deer.,,,,John MacDonald,"Karen Umberger, Karel Crawford, Lino Avellani, Brodie Deshaies",1/5/2021
21-0353,relative to gold star family decals for motor vehicles.,HB 197,"This bill permits the use of deadly force against another person in circumstance where deadly force is used in the commission of felony against a person in a vehicle or in the commission of riot against a person within such person's vehicle, dwelling or its curtilege.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=353&txtFormat=html,John Graham,,1/5/2021
21-0354,relative to prohibitions on carrying a loaded firearm on an OHRV or snowmobile.,HB 196,This bill adds an exception to the criminal threatening statute for a person who displays a firearm to warn away a trespasser.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=354&txtFormat=html,John Burt,"Gary Daniels, Norman Silber, Bob Giuda, Hershel Nunez, Terry Roy, Jennifer Rhodes, Jim Kofalt, Ted Gorski, Niki Kelsey",1/5/2021
21-0355,"relating to the governor.  Providing that there be a lieutenant governor who shall assume the duties of the governor if the governor is incapacitated.
",HB 195,This bill inserts an exception to the crime of reckless conduct for the display of a firearm.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=355&txtFormat=html,Michael Moffett,"Timothy Lang, Howard Pearl",1/5/2021
21-0356,requiring students in the university and community college systems of New Hampshire to pass the United States Citizenship and Immigration Services civics naturalization test.,HB 216,This bill establishes requirements for remote access to public meetings under RSA 91-A.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=356&txtFormat=html,Michael Moffett,"Barbara Shaw, Claire Rouillard, Timothy Lang, Howard Pearl, Bob Giuda, Deborah Hobson",1/5/2021
21-0357,requiring a civics competency assessment as a high school graduation requirement.,,,,Michael Moffett,"Barbara Shaw, Claire Rouillard, Timothy Lang, Howard Pearl, Deborah Hobson",1/5/2021
21-0358,requiring school districts to submit an annual report concerning gifted students.,,,,Michael Moffett,"Lou D'Allesandro, Barbara Shaw, Joseph Pitre, Timothy Lang, Howard Pearl, Bob Giuda, Deborah Hobson",1/4/2021
21-0360,relative to public notice of and access to meetings under the right to know law.,,,,Lucy Weber,"Mary Beth Walz, Marjorie Porter",1/4/2021
21-0361,adding display of a firearm as an exception to reckless conduct.,,,,Michael Yakubovich,"Debra DeSimone, Tony Lekas, Terry Roy, Judy Aron, Jennifer Rhodes",1/4/2021
21-0362,adding trespass as an exception to the charge of criminal threatening.,,,,Michael Yakubovich,"Debra DeSimone, David Binford, Tony Lekas, Tony Piemonte, Terry Roy, Judy Aron, Jennifer Rhodes",1/4/2021
21-0363,relative to the use of deadly force in defense of another.,,,,Michael Yakubovich,"Max Abramson, David Binford, Tony Lekas, Tony Piemonte, Judy Aron, Jennifer Rhodes, Aidan Ankarberg",1/5/2021
21-0365,requiring a public employer to provide notice of a new or amended collective bargaining agreement.,,,,Leonard Turcotte,"Glenn Cordelli, Kevin Avard, Michael Moffett",1/4/2021
21-0366,"proclaiming January 24 as ""Granny D"" day.",HB 189,This bill allows as a right the addition of up to 3 accessory dwelling units on a single-family dwelling.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=366&txtFormat=html,Ivy Vann,"Timothy Horrigan, Janice Schmidt, Timothy Smith, Suzanne Vail, Debra Altschiller, Joe Schapiro, Peter Petrigno, Cassandra  Levesque",1/5/2021
21-0368,permitting the designation of an open container area for the consumption of alcoholic beverages.,,,,Ivy Vann,Casey Conley,1/4/2021
21-0369,relative to accessory dwelling units.,HB 204,This bill proclaims January 24 as Granny D. Day.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=369&txtFormat=html,Ivy Vann,"Casey Conley, Tony Caplan",1/5/2021
21-0370,relative to permissible residential units in a residential zone.,,,,Ivy Vann,"Casey Conley, Rebecca McWilliams, Tony Caplan",12/4/2020
21-0372,decreasing the fee to file a petition for a declaratory ruling with the site evaluation committee.,HB 205-FN,This bill amends the amount of time that must be served by a person incarcerated under a suspended sentence before petitioning for the suspension of the remainder of the sentence.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=372&txtFormat=html,Michael Vose,"Douglas Thomas, Bob Giuda, Ruth Ward",1/5/2021
21-0373,relative to motorist service signs on limited access highways.,,,,Timothy Horrigan,,1/4/2021
21-0374,including soil health and soil conservation in the state soil conservation plan.,HB 199,This bill amends current provisions relative to soil conservation to include soil health and climate and environmental change mitigation and adaptation.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=374&txtFormat=html,Peter Bixby,,1/5/2021
21-0375,proclaiming the daring jumping spider to be the state spider of New Hampshire.,,,,Kat McGhee,,1/4/2021
21-0376,relative to incarceration under a suspended sentence.,HB 201,"This bill requires the commissioner of insurance to review the implementation of the requirement for coverage of pediatric autoimmune neuropsychiatric disorders as adopted by 2019, 277 (SB 244-FN) and to report to the legislature.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=376&txtFormat=html,Joe Schapiro,"John Bordenet, David Welch, Jay Kahn, Daryl Abbas",1/4/2021
21-0379,relative to school lunch payment policies.,HB 210-FN,This bill increases exemption amounts under the interest and dividends tax and decreases the annual total aggregate amount of the research and development tax credit against business taxes.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=379&txtFormat=html,Timothy Horrigan,"Barbara Shaw, Mel Myler, David Luneau, Sue Mullen",12/29/2020
21-0380,relative to education funding.,,,,David Luneau,,1/4/2021
21-0382,increasing exemptions under the interest and dividends tax and decreasing the total amount of research and development credits against business taxes.,HB 202,This bill requires school boards that provide free or reduced cost meals to refrain from certain actions that could stigmatize a child who requests such a meal.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=382&txtFormat=html,Timothy Lang,"John Reagan, Kenneth Weyler, Russell Ober, David Binford, Gregg Hough",1/4/2021
21-0383,relative to the release of student assessment information and data.,HB 203,This bill establishes a committee to study school meal programs in New Hampshire's public schools and nonsectarian schools that accept public funds.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=383&txtFormat=html,Glenn Cordelli,"Rick Ladd, Jason Osborne, Kevin Avard, Michael Moffett, Ruth Ward, Deborah Hobson, Erica Layon",1/5/2021
21-0384,relative to the city of Manchester employees' contributory retirement system.,HB 213,This bill removes the inclusion of technologies producing useful thermal energy from the minimum  electric renewable portfolio standards.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=384&txtFormat=html,Patrick Long,,1/4/2021
21-0385,relative to review by the insurance department of coverage for pediatric autoimmune neuropsychiatric disorders.,,,,Rebecca McBeath,,12/28/2020
21-0386,creating an animal records database.,,,,Peter Bixby,,1/4/2021
21-0387,revising certain benefit provisions in the city of Manchester employees contributory retirement system.,,,,Patrick Long,,1/4/2021
21-0388, increasing the penalty for certain invasions of privacy.,,,,Kenneth Vincent,,12/22/2020
21-0389,relative to travel insurance.,HB 200-FN,This bill increases the criminal penalty for certain violations of privacy and nonconsensual dissemination of private sexual images.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=389&txtFormat=html,Kevin Cavanaugh,"David Watters, John Hunt, Harold French",11/30/2020
21-0390,establishing a value added grant matching fund for New Hampshire agricultural producers.,HB 211-FN,"This bill establishes new benefit provisions for the employees' contributory retirement system of the City of Manchester originally established in 1973, 218 for participants who commence service on or after January 1, 2021.  This bill increases the member contribution for participants until the plan reaches a 100 percent funded ratio and increases the normal retirement age.  This bill will also mitigate the cost to the Manchester employees' contributory retirement system for early retirement and adjust the final average earning calculation.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=390&txtFormat=html,Peter Bixby,,1/5/2021
21-0391,relative to the treatment of veterans' disability benefits for purposes of determining child support.,,,,Al Baldasaro,"Jeb Bradley, Peter Leishman, Gary Hopper, James Spillane, Gary Daniels, Howard Pearl, Scott Wallace, Bob Giuda, Bill Gannon",12/14/2020
21-0392,requiring an employer to provide reasonable accommodations for a pregnant employee.,,,,Erin Hennessey,"Lou D'Allesandro, Sharon Carson, David Watters, John Reagan, Debra DeSimone, William Marsh, Ruth Ward, Bill Gannon, Tom Sherman, Cindy Rosenwald, Suzanne Prentiss, Denise Ricciardi, Rebecca Whitley, Rebecca Perkins Kwoka, Brodie Deshaies",1/4/2021
21-0393,relative to the elimination of useful thermal energy from renewable energy classes.,HB 198,This bill excepts biological males by birth from the provision that no person may be excluded from participation in public schools as that provision applies to participation in all-female athletics.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=393&txtFormat=html,Michael Harrington,,1/4/2021
21-0394,establishing a committee to study school meal programs in New Hampshire's public schools and non-sectarian schools that accept public funds.,,,,Timothy Horrigan,Sue Mullen,1/4/2021
21-0397,relative to an exception to the opportunity for public education without discrimination.,HB 107,This bill establishes the state minimum hourly rate at $22.50 per hour.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=397&txtFormat=html,Rick Ladd,"Ralph Boehm, Jeanine Notter, Glenn Cordelli, James Spillane, Gregory Hill, Mark Pearson, Alicia Lekas",1/5/2021
21-0398,relative to certification requirements for school nurses.,,,,Gregory Hill,"Rick Ladd, Carol McGuire, Steven Smith, Glenn Cordelli, Timothy Lang, Alicia Lekas",11/25/2020
21-0399,relative to bail commissioners fees.,,,,Bill Gannon,"Lou D'Allesandro, Sharon Carson, John Reagan, Kevin Avard, David Welch, Tony Piemonte, Suzanne Prentiss",1/5/2021
21-0400,establishing a committee to study the funding of tuition and transportation for career technical education. ,,,,Rick Ladd,"Jeb Bradley, John Reagan, Barbara Shaw, Karen Umberger, Glenn Cordelli, Gregory Hill, Jay Kahn, James Allard, Erin Hennessey",1/5/2021
21-0401,relative to public inspection of absentee ballot lists.,,,,Gregory Hill,"Kimberly Rice, Claire Rouillard, Norman Silber, Howard Pearl",1/5/2021
21-0402,relative to the absentee ballot application process.,,,,Gregory Hill,"Kimberly Rice, Claire Rouillard, Norman Silber, Howard Pearl, Michael Gunski",12/30/2020
21-0403,relative to the classification of certain state employee positions.,,,,John Reagan,"Peter Schmidt, Cindy Rosenwald",1/4/2021
21-0404,relative to the minimum hourly rate.,,,,Catherine Sofikitis,"Janice Schmidt, Sherry Frost",1/5/2021
21-0406,requiring a person issued a summons to remain of good behavior.,,,,Dave Testerman,William Marsh,11/13/2020
21-0407,relative to direct primary care referral parity.,,,,Erin Hennessey,,1/5/2021
21-0408,relative to the operation of certain watercraft on Wachipauka Pond.,,,,George Sykes,,1/5/2021
21-0409,relative to a forfeiture of personal property.,,,,Michael Sylvia,"James Spillane, Bob Greene, Alicia Lekas, Tony Lekas, Harry Bean, Judy Aron",1/5/2021
21-0410,relative to the system benefits charge.,,,,Michael Harrington,,1/5/2021
21-0411,relative to rabies vaccinations for dogs.,,,,Thomas Buco,,1/5/2021
21-0413,relative to billing for ambulance services.,,,,Joyce Weston,"David Luneau, William Marsh",1/5/2021
21-0414,establishing a committee to study rail trail best management practices.,,,,Suzanne Smith,"Linda Gould, Joyce Weston",1/5/2021
21-0416,relative to storage of rail cars containing hazardous materials.,,,,Dennis Thompson,,12/22/2020
21-0417,relative to remote notarization.,,,,David Danielson,,11/25/2020
21-0418,relative to the compensation appeals board.,,,,Brian Seaworth,,1/5/2021
21-0419,relative to the degree granting authority of Signum university.,,,,Ruth Ward,"Sharon Carson, Jay Kahn, Erin Hennessey, Denise Ricciardi",1/4/2021
21-0420,eliminating the housing appeals board.,,,,Daryl Abbas,"Linda Gould, Regina Birdsell, Terry Roy, Niki Kelsey",11/25/2020
21-0421,relative to required pay.,,,,Brian Seaworth,,1/4/2021
21-0422,relative to the application process for drivers' licenses and relative to privacy of motor vehicle records. ,,,,George Sykes,"David Watters, David Welch",11/30/2020
21-0424,relative to equal access to places of public accomodation.,,,,Barbara Comtois,"David Binford, Kevin Verville, David Love, Bob Greene, Hershel Nunez, Judy Aron, Mike Bordes, Gregg Hough, Melissa Blasek",12/3/2020
21-0427,clarifying Medicaid spend-down requirements and requiring a report to the oversight committee on health and human services. ,,,,Cindy Rosenwald,"Jeb Bradley, Charles McMahon, Joseph Guthrie, William Marsh, Jerry Knirk, Tom Sherman, Sue Mullen, Erin Hennessey, Rebecca Whitley",11/30/2020
21-0428,relative to termination of a state of emergency by simple resolution.,,,,Tony Lekas,"Jordan Ulery, James Spillane, Chris True, Andrew Prout, Dave Testerman, David Love, Scott Wallace, Michael Gunski, Alicia Lekas",1/4/2021
21-0429,relative to initiating amendments and corrections to birth records.,,,,Gerri Cannon,"Tom Sherman, Donald Bouchard, Gary Woods, Lisa Bunker, Cindy Rosenwald",1/4/2021
21-0430,relative to the emergency management powers of the governor.,,,,Anne Copp,"Raymond Howard, Dave Testerman",12/22/2020
21-0431,relative to termination of a state of emergency by the legislature.,,,,Andrew Prout,"Kevin Verville, Melissa Blasek",12/7/2020
21-0432,relative to termination of an emergency order issued by the governor.,,,,Andrew Prout,Melissa Blasek,1/4/2021
21-0435,making an appropriation to the FRM victims' contribution recovery fund.,,,,Kenneth Weyler,"Lou D'Allesandro, Michael Sylvia, Glen Aldrich, Kevin Avard, Norman Silber, Bob Giuda, Jonathan  Mackie, Mike Bordes, Dawn Johnson, Travis O'Hara",1/4/2021
21-0436,relative to vehicle repairs.,,,,Kenneth Weyler,"Steven Smith, Walter Stapleton",12/2/2020
21-0437,adding a member to the aviation users advisory board.,,,,Kenneth Weyler,"Jeb Bradley, Russell Ober, Lynne Ober, Martin Jack, Gary Daniels, Regina Birdsell, Peter Torosian, Bill Gannon",12/16/2020
21-0439,"relative to responsibilities of the insurance department.
",,,,John Potucek,,1/4/2021
21-0440,"relative to policies required for health facilities and special health care service licenses. 
",,,,Mark McLean,"Mark Warden, Ross Berry",12/3/2020
21-0441," relative to property restrictions on certain amateur radio antennas.
",,,,Glen Aldrich,,1/4/2021
21-0442,relative to homestead food operation licensure.,,,,Hershel Nunez,"John Burt, Max Abramson, David Binford, Kevin Verville, Alicia Lekas, Terry Roy, Tim Baxter, Aidan Ankarberg",12/9/2020
21-0443,"relative to the Brewster Academy charter.
",,,,Jeb Bradley,"William Marsh, John MacDonald, Brodie Deshaies",12/23/2020
21-0444,"relative to public utility regulation of utility pole attachments.
",,,,Jeb Bradley,,1/4/2021
21-0445,"relative to driver education.
",,,,Timothy Lang,"Carol McGuire, Jason Osborne, Kevin Avard, David Binford, Howard Pearl, Kevin Verville, Bob Giuda, Hershel Nunez, Judy Aron, Juliet Harvey-Bolia, Lisa Post",1/5/2021
21-0446,relative to the use of unused district facilities by chartered public schools.,,,,Gregory Hill,"Kenneth Weyler, Rick Ladd, Kimberly Rice, Claire Rouillard, Leonard Turcotte, Norman Silber",1/5/2021
